彥君： 哈囉， 
彥君： 各位即將衝ㄟ——的會考戰士們， 
彥君： 我是彥君老師。
彥君： 今天來到 第九十四集！
曉臻： 大家好， 
曉臻： 我是曉臻助教。
彥君： [戰士們注意， ]
彥君： 這一集 絕對是送分題！
彥君： 只要 聽懂生活例子， 
彥君： 閉著眼睛 都能拿滿分。
曉臻： 老師， 上面寫著， 
曉臻： 碰撞學說 兩個條件。
彥君： 沒錯！ 就像打撞球。
彥君： 你的 力道要夠大， 
彥君： 撞擊的 角度還要對！
彥君： 這樣 才會發生反應。
曉臻： 那下面 五個影響因素， 
曉臻： 第一個 物質本性。
彥君： 這是 物質天生的個性。
彥君： 像鉀 碰到水會爆炸， 
彥君： 鐵 卻是慢慢生鏽。
曉臻： 還有 什麼例子嗎？
彥君： 像是 煙火裡的火藥， 
彥君： 一點火 就瞬間爆發！
彥君： 但 暖暖包裡的鐵粉， 
彥君： 卻是 慢慢發熱一整天。
曉臻： 喔！ 還有古蹟的銅屋頂， 
曉臻： 要好幾年 才會變綠色。
彥君： 但如果 把鈉切開， 
彥君： 幾秒鐘 表面就變暗了！
彥君： 這就是 本性的差異。
曉臻： 第二個 因素是表面積。
曉臻： 就像 糖粉比方糖， 
曉臻： 溶得 更快對吧？
彥君： 沒錯！ 接觸面越大， 
彥君： 碰撞的 機會就越多。
彥君： 烤肉的時候 劈柴， 
彥君： 木片 絕對比整根原木， 
彥君： 還要 容易生火！
曉臻： 難怪 醫生都說， 
曉臻： 胃藥 咬碎吃會更快好！
彥君： 因為 咬碎增加表面積， 
彥君： 中和胃酸 的速度就快！
曉臻： 那第三個 濃度跟壓力呢？
彥君： 房間裡 人擠得越多， 
彥君： 越容易 互相撞在一起！
彥君： 例如 洗廁所的時候， 
彥君： 濃鹽酸 冒泡超級快， 
彥君： 稀鹽酸 就慢慢咬污垢。
曉臻： 如果是 氣體的壓力呢？
彥君： 仙女棒 在空氣中燒， 
彥君： 亮度 只有普通亮。
彥君： 但如果 丟進純氧瓶裡， 
彥君： 濃度極高 就會爆閃亮！
曉臻： 老師， 第五個催化劑。
曉臻： 空格 到底要填什麼？
彥君： 催化劑 最偉大的功能， 
彥君： 就是 降低活化能！
彥君： [釘選] 催化劑：降低活化能、質量不變（催化劑， 可以降低活化能， 還有質量不變。）
曉臻： 什麼是 活化能啊？
彥君： 它就像 一座很高的大山。
彥君： 催化劑 就是幫你開隧道， 
彥君： 讓你 抄捷徑過去！
彥君： 所以 反應變快了。
曉臻： 那它 會被消耗掉嗎？
彥君： 絕對不會！ 質量不變。
彥君： 而且 它有專一性。
彥君： 唾液 只能分解澱粉， 
彥君： 對蛋白質 就沒輒！
曉臻： 最後 右邊那個圖標， 
曉臻： 溫度曲線 往上衝好快！
彥君： [戰士們， 畫三顆星！]
彥君： 增加 速率殺手鐧， 
彥君： 絕對 就是加熱！
彥君： 溫度 只要上升一點， 
彥君： 速率 就會指數狂飆！
曉臻： 難怪 夏天的便當， 
曉臻： 一個下午 就酸掉壞了。
彥君： 沒錯！ 所以我們要， 
彥君： 把食物 放進冰箱冷凍。
彥君： 降溫 就能減緩腐敗！
曉臻： 還有 我們感冒發燒， 
曉臻： 只要 體溫一變高， 
曉臻： 心跳呼吸 也會跟著變快！
彥君： 這就是 生理反應變快。
彥君： 溫度 真的決定一切！
彥君： 觀念通了， 秒殺考題。
彥君： 我是彥君老師。
曉臻： 我是曉臻助教。
合聲： 開鑿隧道， 加熱狂飆！
合聲： 戰士們， 我們頂峰相見！
